CodigoEstacion,NombreEstacion,Variable,Parametro,Fecha,Unidad,Valor,NivelAprobacion
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1981-03-01 00:00,mm,25.8,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1981-04-01 00:00,mm,239.4,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1981-05-01 00:00,mm,278.1,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1981-07-01 00:00,mm,6.6,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1981-09-01 00:00,mm,37.5,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1981-10-01 00:00,mm,185.2,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1981-11-01 00:00,mm,60.7,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1981-12-01 00:00,mm,109.6,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1982-01-01 00:00,mm,70.8,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1982-02-01 00:00,mm,140.5,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1982-03-01 00:00,mm,85.3,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1982-04-01 00:00,mm,221.6,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1982-05-01 00:00,mm,300.9,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1982-06-01 00:00,mm,14.8,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1982-07-01 00:00,mm,39.6,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1982-08-01 00:00,mm,1.1,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1982-11-01 00:00,mm,130.1,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1982-12-01 00:00,mm,201.6,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1983-01-01 00:00,mm,32.9,Definitivo
